HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols
HGNC:23256	GLC1H	Entry Withdrawn		
HGNC:31912	GLC1I	Entry Withdrawn		
HGNC:26986	GLC1J	Entry Withdrawn		JOAG2
HGNC:21341	GLC1K	Entry Withdrawn		JOAG3
HGNC:33120	GLC1L	Entry Withdrawn		
HGNC:33162	GLC1M	Entry Withdrawn		
HGNC:33163	GLC1N	Entry Withdrawn		
HGNC:41965	GLC1P	Entry Withdrawn		
HGNC:41966	GLC1Q	Entry Withdrawn		
HGNC:4307	GLC2A	Entry Withdrawn		
HGNC:4308	GLC3A	Symbol Withdrawn		
HGNC:4309	GLC3B	Entry Withdrawn		
HGNC:30028	GLC3C	Entry Withdrawn		
HGNC:18713	GLCCI1	Approved		GIG18, FAM117C, TSSN1
HGNC:40852	GLCCI1-DT	Approved		
HGNC:17855	GLCE	Approved		KIAA0836, HSEPI
HGNC:4310	GLCL	Symbol Withdrawn		
HGNC:13807	GLCLC	Symbol Withdrawn		
HGNC:13808	GLCLR	Symbol Withdrawn		
HGNC:4313	GLDC	Approved		GCSP, NKH
HGNC:4314	GLDCP1	Approved	GLDCP	
HGNC:29514	GLDN	Approved	COLM	CRG-L2, CLOM, colmedin, UNC-122
HGNC:4315	GLE1	Approved	GLE1L, LCCS1	hGLE1
HGNC:4316	GLG1	Approved		MG-160, ESL-1, CFR-1
HGNC:4317	GLI1	Approved	GLI	
HGNC:4318	GLI2	Approved		THP2, HPE9, THP1
HGNC:4319	GLI3	Approved	GCPS, PHS	PAP-A, PAPA, PAPA1, PAPB, ACLS, PPDIV
HGNC:4320	GLI4	Approved		HKR4, ZNF928
HGNC:48823	GLIDR	Approved	LINC01172	MGC21881, TCONS_00015562, FAM88A
HGNC:4321	GLIF	Symbol Withdrawn		
HGNC:17001	GLIPR1	Approved		RTVP1, GliPR
HGNC:56075	GLIPR1-AS1	Approved		RP11-585P4.5
HGNC:28392	GLIPR1L1	Approved		MGC26856
HGNC:28592	GLIPR1L2	Approved		MGC39497
HGNC:18007	GLIPR2	Approved	C9orf19	GAPR-1
HGNC:29525	GLIS1	Approved		FLJ36155
HGNC:29450	GLIS2	Approved		NPHP7
HGNC:51381	GLIS2-AS1	Approved		
HGNC:28510	GLIS3	Approved	ZNF515	MGC33662
HGNC:28260	GLIS3-AS1	Approved	C9orf70	MGC16153
HGNC:55796	GLIS3-AS2	Approved		
HGNC:14373	GLMN	Approved	VMGLOM	FAP48, FAP68, GLML, GVM, FKBPAP
HGNC:29436	GLMP	Approved	C1orf85	MGC31963, NCU-G1, lnc-UCID
HGNC:4322	GLNS	Symbol Withdrawn		
HGNC:4323	GLO1	Approved		GLOD1
HGNC:14111	GLOD4	Approved	C17orf25	CGI-150, HC71
HGNC:33358	GLOD5	Approved		
HGNC:4324	GLP1R	Approved		GLP-1R
HGNC:4325	GLP2R	Approved		
HGNC:4326	GLRA1	Approved	STHE	
HGNC:4327	GLRA2	Approved	GLR	
HGNC:4328	GLRA3	Approved		
HGNC:31715	GLRA4	Approved		
HGNC:4329	GLRB	Approved		
HGNC:4330	GLRX	Approved		GRX, GRX1
HGNC:16065	GLRX2	Approved		GRX2, bA101E13.1
HGNC:15987	GLRX3	Approved	TXNL2	PICOT, bA500G10.4, GRX3, GLRX4, GRX4
HGNC:49787	GLRX3P1	Approved		
HGNC:49788	GLRX3P2	Approved		
HGNC:20134	GLRX5	Approved	C14orf87	PR01238, GRX5
HGNC:55062	GLRX5P1	Approved		
HGNC:55063	GLRX5P2	Approved		
HGNC:55064	GLRX5P3	Approved		
HGNC:16544	GLRXP1	Approved	GLRXP	bA425M5.1
HGNC:18376	GLRXP2	Approved		
HGNC:34049	GLRXP3	Approved	GLRXL	
HGNC:4331	GLS	Approved		KIAA0838, GLS1, GAC, GAM, KGA
HGNC:29570	GLS2	Approved		GA, GLS, LGA, hLGA
HGNC:26483	GLT1D1	Approved		FLJ31978
HGNC:23671	GLT6D1	Approved	GLTDC1	
HGNC:24870	GLT8D1	Approved		AD-017, FLJ14611
HGNC:24890	GLT8D2	Approved		FLJ31494
HGNC:56861	GLTC1	Approved		lnc-UNC93B1-1, GLTC
HGNC:24867	GLTP	Approved		
HGNC:33756	GLTPD2	Approved		
HGNC:33991	GLTPP1	Approved		
HGNC:4334	GLUC	Symbol Withdrawn		
HGNC:4335	GLUD1	Approved	GLUD	GDH, GDH1, hGDH1
HGNC:4337	GLUD1P2	Approved	GLUDP2, GLUD1P7, GLUDP7	bA342C24.3
HGNC:4338	GLUD1P3	Approved	GLUDP3, C10orf102	Em:AC022400.11
HGNC:4339	GLUD1P4	Approved	GLUDP4	
HGNC:4340	GLUD1P5	Approved	GLUDP5	
HGNC:23610	GLUD1P6	Approved	GLUDP6, GLUD1P8, GLUDP8	bK2173J9.1, bA144G6.5
HGNC:23636	GLUD1P7	Symbol Withdrawn	GLUDP7	bA342C24.3
HGNC:23637	GLUD1P8	Symbol Withdrawn	GLUDP8	bA144G6.5
HGNC:37696	GLUD1P9	Approved		
HGNC:4336	GLUD2	Approved	GLUDP1	
HGNC:4341	GLUL	Approved	GLNS	
HGNC:4342	GLULP1	Approved	GLULL1	
HGNC:4343	GLULP2	Approved	GLULL2	
HGNC:4344	GLULP3	Approved	GLULL3	
HGNC:4345	GLULP4	Approved	GLULP	
HGNC:37989	GLULP5	Approved		
HGNC:37990	GLULP6	Approved		
HGNC:4346	GLUR1	Symbol Withdrawn		
HGNC:4347	GLUR2	Symbol Withdrawn		
HGNC:4348	GLUR3	Symbol Withdrawn		
HGNC:4349	GLUR4	Symbol Withdrawn		
HGNC:4350	GLUR5	Symbol Withdrawn		
HGNC:4351	GLUR6	Symbol Withdrawn		
HGNC:4352	GLUR7	Entry Withdrawn		
HGNC:4353	GLUT1	Symbol Withdrawn		
HGNC:4354	GLUT2	Symbol Withdrawn		
HGNC:4355	GLUT3	Symbol Withdrawn		
HGNC:4356	GLUT3P1	Symbol Withdrawn		
HGNC:4357	GLUT4	Symbol Withdrawn		
HGNC:4358	GLUT5	Symbol Withdrawn		
HGNC:4359	GLUT6	Symbol Withdrawn		
HGNC:4360	GLVR1	Symbol Withdrawn		
HGNC:4361	GLVR2	Symbol Withdrawn		
HGNC:4362	GLXR	Symbol Withdrawn		
HGNC:13734	GLYAT	Approved		GAT, ACGNAT
HGNC:30519	GLYATL1	Approved		MGC15397, FLJ34646
HGNC:58086	GLYATL1-AS1	Approved		
HGNC:37865	GLYATL1B	Approved	GLYATL1P3	
HGNC:37866	GLYATL1P1	Approved		
HGNC:37863	GLYATL1P2	Approved		
HGNC:37864	GLYATL1P4	Approved		
HGNC:24178	GLYATL2	Approved		BXMAS2-10, MGC24009
HGNC:21349	GLYATL3	Approved	C6orf140	bA28H17.2
HGNC:4363	GLYB	Entry Withdrawn		
HGNC:18023	GLYCAM1	Approved		
HGNC:24247	GLYCTK	Approved		HBEBP4, HBEBP2
HGNC:41043	GLYCTK-AS1	Approved		
HGNC:4364	GLYD	Symbol Withdrawn	GLYD	
HGNC:24434	GLYR1	Approved		BM045, HIBDL, NP60, N-PAC
HGNC:56963	GLYR1P1	Approved		
