input_symbol,resolved_symbol,ensembl_gene_id,source,note
KATNAL1,KATNAL1,ENSG00000102781,direct,
KCMF1,KCMF1,ENSG00000176407,direct,
KCNAB3,KCNAB3,ENSG00000170049,direct,
KCNC1,KCNC1,ENSG00000129159,direct,
KCNC4,KCNC4,ENSG00000116396,direct,
KCNJ11,KCNJ11,ENSG00000187486,direct,
KCNK6,KCNK6,ENSG00000099337,direct,
KCTD10,KCTD10,ENSG00000110906,direct,
KCTD15,KCTD15,ENSG00000153885,direct,
KCTD16,KCTD16,ENSG00000183775,direct,
KCTD17,KCTD17,ENSG00000100379,direct,
KCTD21,KCTD21,ENSG00000188997,direct,
KDM3A,KDM3A,ENSG00000115548,direct,
KIAA0040,KIAA0040,ENSG00000235750,direct,
KIAA0319L,KIAA0319L,ENSG00000142687,direct,
KIAA0408,KIAA0408,ENSG00000189367,direct,
KIAA0825,KIAA0825,ENSG00000185261,direct,
KIF2A,KIF2A,ENSG00000068796,direct,
KIFC2,KIFC2,ENSG00000167702,direct,
KLF8,KLF8,ENSG00000102349,direct,
KLF9,KLF9,ENSG00000119138,direct,
KLHDC8A,KLHDC8A,ENSG00000162873,direct,
KLHDC8B,KLHDC8B,ENSG00000185909,direct,
KLHL12,KLHL12,ENSG00000117153,direct,
KLHL24,KLHL24,ENSG00000114796,direct,
KLK6,KLK6,ENSG00000167755,direct,
KPNA1,KPNA1,ENSG00000114030,direct,
KPNA4,KPNA4,ENSG00000186432,direct,
KREMEN1,KREMEN1,ENSG00000183762,direct,
KRT5,KRT5,ENSG00000186081,direct,
KRT82,KRT82,ENSG00000161850,direct,
L2HGDH,L2HGDH,ENSG00000087299,direct,
LASP1,LASP1,ENSG00000002834,direct,
LBH,LBH,ENSG00000213626,direct,
LBR,LBR,ENSG00000143815,direct,
LCOR,LCOR,ENSG00000196233,direct,
LEPROTL1,LEPROTL1,ENSG00000104660,direct,
LGR4,LGR4,ENSG00000205213,direct,
LIMD2,LIMD2,ENSG00000136490,direct,
LIN28B,LIN28B,ENSG00000187772,direct,
LIPT2,LIPT2,ENSG00000175536,direct,
LONRF2,LONRF2,ENSG00000170500,direct,
LOXL3,LOXL3,ENSG00000115318,direct,
LPCAT2,LPCAT2,ENSG00000087253,direct,
LPGAT1,LPGAT1,ENSG00000123684,direct,
LRFN4,LRFN4,ENSG00000173621,direct,
LRIG2,LRIG2,ENSG00000198799,direct,
LRIG3,LRIG3,ENSG00000139263,direct,
LRRC10,LRRC10,ENSG00000198812,direct,
LRRC58,LRRC58,ENSG00000163428,direct,
LRRC59,LRRC59,ENSG00000108829,direct,
LRRC8B,LRRC8B,ENSG00000197147,direct,
LRRFIP1,LRRFIP1,ENSG00000124831,direct,
LSM11,LSM11,ENSG00000155858,direct,
LYRM2,LYRM2,ENSG00000083099,direct,
MAN2A2,MAN2A2,ENSG00000196547,direct,
MAP2K7,MAP2K7,ENSG00000076984,direct,
MAP3K1,MAP3K1,ENSG00000095015,direct,
MAP3K3,MAP3K3,ENSG00000198909,direct,
MAP4K3,MAP4K3,ENSG00000011566,direct,
MAP6,MAP6,ENSG00000171533,direct,
MAPK1IP1L,MAPK1IP1L,ENSG00000168175,direct,
MAPK6,MAPK6,ENSG00000069956,direct,
MARCKSL1,MARCKSL1,ENSG00000175130,direct,
MARS2,MARS2,ENSG00000247626,direct,
MASP1,MASP1,ENSG00000127241;ENSG00000291559,direct,
MATR3,MATR3,ENSG00000015479,direct,
MAVS,MAVS,ENSG00000088888,direct,
MBD2,MBD2,ENSG00000134046,direct,
MBNL3,MBNL3,ENSG00000076770,direct,
MBTD1,MBTD1,ENSG00000011258,direct,
MDC1,MDC1,ENSG00000137337;ENSG00000206481;ENSG00000224587;ENSG00000225589;ENSG00000228575;ENSG00000231135;ENSG00000234012;ENSG00000237095,direct,
MDM4,MDM4,ENSG00000198625,direct,
MECP2,MECP2,ENSG00000169057,direct,
MED28,MED28,ENSG00000118579,direct,
MED6,MED6,ENSG00000133997,direct,
