mirna_id,gene_id,weight
hsa-let-7b,ENSG00000139618,1.0
hsa-let-7c,ENSG00000139618,1.0
hsa-let-7d,ENSG00000139618,1.0
hsa-let-7e,ENSG00000139618,1.0
hsa-let-7g,ENSG00000139618,1.0
hsa-let-7i,ENSG00000139618,1.0
hsa-let-7b,ENSG00000169925,1.0
hsa-let-7c,ENSG00000169925,1.0
hsa-let-7d,ENSG00000169925,1.0
hsa-let-7e,ENSG00000169925,1.0
hsa-let-7g,ENSG00000169925,1.0
hsa-let-7i,ENSG00000169925,1.0
hsa-let-7b,ENSG00000136492,1.0
hsa-let-7c,ENSG00000136492,1.0
hsa-let-7d,ENSG00000136492,1.0
hsa-let-7e,ENSG00000136492,1.0
hsa-let-7g,ENSG00000136492,1.0
hsa-let-7i,ENSG00000136492,1.0
hsa-let-7b,ENSG00000165288,1.0
hsa-let-7c,ENSG00000165288,1.0
hsa-let-7d,ENSG00000165288,1.0
hsa-let-7e,ENSG00000165288,1.0
hsa-let-7g,ENSG00000165288,1.0
hsa-let-7i,ENSG00000165288,1.0
hsa-let-7b,ENSG00000132640,1.0
hsa-let-7c,ENSG00000132640,1.0
hsa-let-7d,ENSG00000132640,1.0
hsa-let-7e,ENSG00000132640,1.0
hsa-let-7g,ENSG00000132640,1.0
hsa-let-7i,ENSG00000132640,1.0
hsa-let-7b,ENSG00000134717,1.0
hsa-let-7c,ENSG00000134717,1.0
hsa-let-7d,ENSG00000134717,1.0
hsa-let-7e,ENSG00000134717,1.0
hsa-let-7g,ENSG00000134717,1.0
hsa-let-7i,ENSG00000134717,1.0
hsa-let-7b,ENSG00000082153,1.0
hsa-let-7c,ENSG00000082153,1.0
hsa-let-7d,ENSG00000082153,1.0
hsa-let-7e,ENSG00000082153,1.0
hsa-let-7g,ENSG00000082153,1.0
hsa-let-7i,ENSG00000082153,1.0
hsa-let-7b,ENSG00000136261,1.0
hsa-let-7c,ENSG00000136261,1.0
hsa-let-7d,ENSG00000136261,1.0
hsa-let-7e,ENSG00000136261,1.0
hsa-let-7g,ENSG00000136261,1.0
hsa-let-7i,ENSG00000136261,1.0
hsa-let-7b,ENSG00000179476,1.0
hsa-let-7c,ENSG00000179476,1.0
hsa-let-7d,ENSG00000179476,1.0
hsa-let-7e,ENSG00000179476,1.0
hsa-let-7g,ENSG00000179476,1.0
hsa-let-7i,ENSG00000179476,1.0
hsa-let-7b,ENSG00000167173,1.0
hsa-let-7c,ENSG00000167173,1.0
hsa-let-7d,ENSG00000167173,1.0
hsa-let-7e,ENSG00000167173,1.0
hsa-let-7g,ENSG00000167173,1.0
hsa-let-7i,ENSG00000167173,1.0
hsa-let-7b,ENSG00000141428,1.0
hsa-let-7c,ENSG00000141428,1.0
hsa-let-7d,ENSG00000141428,1.0
hsa-let-7e,ENSG00000141428,1.0
hsa-let-7g,ENSG00000141428,1.0
hsa-let-7i,ENSG00000141428,1.0
hsa-let-7b,ENSG00000188493,1.0
hsa-let-7c,ENSG00000188493,1.0
hsa-let-7d,ENSG00000188493,1.0
hsa-let-7e,ENSG00000188493,1.0
hsa-let-7g,ENSG00000188493,1.0
hsa-let-7i,ENSG00000188493,1.0
hsa-let-7b,ENSG00000106392,1.0
hsa-let-7c,ENSG00000106392,1.0
hsa-let-7d,ENSG00000106392,1.0
hsa-let-7e,ENSG00000106392,1.0
hsa-let-7g,ENSG00000106392,1.0
hsa-let-7i,ENSG00000106392,1.0
hsa-let-7b,ENSG00000239887,1.0
hsa-let-7c,ENSG00000239887,1.0
hsa-let-7d,ENSG00000239887,1.0
hsa-let-7e,ENSG00000239887,1.0
hsa-let-7g,ENSG00000239887,1.0
hsa-let-7i,ENSG00000239887,1.0
hsa-let-7b,ENSG00000082196,1.0
hsa-let-7c,ENSG00000082196,1.0
hsa-let-7d,ENSG00000082196,1.0
hsa-let-7e,ENSG00000082196,1.0
hsa-let-7g,ENSG00000082196,1.0
hsa-let-7i,ENSG00000082196,1.0
hsa-let-7b,ENSG00000198535,1.0
hsa-let-7c,ENSG00000198535,1.0
hsa-let-7d,ENSG00000198535,1.0
hsa-let-7e,ENSG00000198535,1.0
hsa-let-7g,ENSG00000198535,1.0
hsa-let-7i,ENSG00000198535,1.0
hsa-let-7b,ENSG00000168887,1.0
hsa-let-7c,ENSG00000168887,1.0
hsa-let-7d,ENSG00000168887,1.0
hsa-let-7e,ENSG00000168887,1.0
hsa-let-7g,ENSG00000168887,1.0
hsa-let-7i,ENSG00000168887,1.0
hsa-let-7b,ENSG00000179021,1.0
hsa-let-7c,ENSG00000179021,1.0
hsa-let-7d,ENSG00000179021,1.0
hsa-let-7e,ENSG00000179021,1.0
hsa-let-7g,ENSG00000179021,1.0
hsa-let-7i,ENSG00000179021,1.0
hsa-let-7b,ENSG00000114529,1.0
hsa-let-7c,ENSG00000114529,1.0
hsa-let-7d,ENSG00000114529,1.0
hsa-let-7e,ENSG00000114529,1.0
hsa-let-7g,ENSG00000114529,1.0
hsa-let-7i,ENSG00000114529,1.0
hsa-let-7b,ENSG00000205765,1.0
hsa-let-7c,ENSG00000205765,1.0
hsa-let-7d,ENSG00000205765,1.0
hsa-let-7e,ENSG00000205765,1.0
hsa-let-7g,ENSG00000205765,1.0
hsa-let-7i,ENSG00000205765,1.0
hsa-let-7b,ENSG00000164241,1.0
hsa-let-7c,ENSG00000164241,1.0
hsa-let-7d,ENSG00000164241,1.0
hsa-let-7e,ENSG00000164241,1.0
hsa-let-7g,ENSG00000164241,1.0
hsa-let-7i,ENSG00000164241,1.0
hsa-let-7b,ENSG00000185127,1.0
hsa-let-7c,ENSG00000185127,1.0
hsa-let-7d,ENSG00000185127,1.0
hsa-let-7e,ENSG00000185127,1.0
hsa-let-7g,ENSG00000185127,1.0
hsa-let-7i,ENSG00000185127,1.0
hsa-let-7b,ENSG00000188112,1.0
hsa-let-7c,ENSG00000188112,1.0
hsa-let-7d,ENSG00000188112,1.0
hsa-let-7e,ENSG00000188112,1.0
hsa-let-7g,ENSG00000188112,1.0
